"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"1/23/2015","Ronald D. Garrett-Roe MD","Corpus Christi","Texas","HACK","MED","1,600","Dr. Ronald D. Garrett-Roe notified patients of a data breach when hackers gained unauthorized access to two hard drives located on the desktop computers of the physicians office. The hard drive had been removed and all the files contained on the hard drive were copied. The hard drive was then formatted to erase all of the information on the computer system. No specific information was provided as to what patient information was compromised.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,27.800583,-97.396381,NA,NA,"",1600,2015-01-23,2015-01-23,0.880619034869596,-0.127130170098512,7.37775890822787,1
"1/23/2015","Ronald D. Garrett-Roe, MD","","TX","HACK","MED","1600","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1600,2015-01-23,2015-02-05,13,2.56494935746154,7.37775890822787,1
"2/5/2015","Anthem","Indianapolis","Indiana","HACK","BSF","80,000,000","Anthem, the second largest health insurance company operating under Anthem Blue Cross, Anthem Blue Cross and Blue Shield Amerigroup and Healthlink has suffered a massive data breach.The company announced that they have been the victim of a ""very sophisticated external cyber attack"" on their system. The information compromised includes names, birthdays, medical ID's, Social Security Numbers, street addresses, e-mail addresses, employment and income information. Over the next several weeks, those who were affected will be receiving some form of identity theft protection. For those members with questions regarding the breach, the company has set up a toll- free line at 1-877-263-79951-877-263-7995 FREE.More Information: For the statement by Anthem's CEO Joseph R. Swedish and the dedicated website created for customer information, click here.Additional Information: http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-se...UPDATE (2/10/2015): As further investigations are pursued regarding the Anthem breach, research by Brian Krebs and others show that the hacking began as early as April 2014 and is pointing to Chines hacker group known as ""Deep Panda"".  At the time, Anthem was called Wellpoint, and upon further investigation Krebs ""discovered a series of connected domain names that appear to imitate actual Wellpoint sites, including we11point.com and myhr.we11point.com.""Because these sites were contructed almost 10 months prior, the question has now been raised as to why it took the company such a long time to uncover the hacking. More Information: http://thehill.com/policy/cybersecurity/232285-analysis-anthem-attack-ma...CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype","Media","",2015,39.768403,-86.158068,NA,NA,"",8e+07,2015-02-05,2015-02-13,8,2.07944154167984,18.1975371926382,1
"2/13/2015","Anthem Inc.","","IN","HACK","MED","78800000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",78800000,2015-02-13,2015-02-24,11,2.39789527279837,18.1824235548281,1
"2/24/2015","The Urban Institute","Washington","District Of Columbia","HACK","BSO","700,000","The Urban Institute alerted charitable organization that utilize their National Center for Charitable Statistics (NCCS) to file their taxes, was compromised when the system was hacked. ""An official with the Urban Institute estimated that between 600,000 and 
700,000 organizations were affected by the breach. At this point, there 
is apparently no evidence that tax filings themselves were compromised. 
There were also no Social Security numbers or credit card information in
 the system, the official said.""The tax filings by these organizations are said to be compromised in this particular hack. The Urban Institute has stated that there were no Social Security numbers or credit card information on this system. More Information: http://thehill.com/policy/cybersecurity/233641-prominent-dc-think-tank-h...","Media","",2015,38.907192,-77.036871,NA,NA,"",7e+05,2015-02-24,2015-02-24,0.413124209502712,-0.8840069818359,13.4588356140255,1
"2/24/2015","Children's National Medical Center","","DC","HACK","MED","18000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",18000,2015-02-24,2015-02-27,3,1.09861228866811,9.7981270368783,1
"2/27/2015","Aventura Hospital and Medical Center","Aventura","Florida","HACK","MED","686","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,25.96994,-80.14533,NA,NA,"",686,2015-02-27,2015-02-27,0.0638084805104882,-2.75186917410304,6.53087762772588,1
"2/27/2015","Uber Technologies Inc.","San Francisco","California","HACK","BSO","50,000","Uber notified 50,000 drivers of an unauthorized access to their database which resulted in compromising driver data. The hacking took place in May of 2014. According to the company only names and driver's license numbers were compromised. The company is offering identity protection services for affected drivers. More Information: http://www.bloomberg.com/news/articles/2015-02-27/uber-discloses-databas...","Media","",2015,37.77493,-122.419416,NA,NA,"",50000,2015-02-27,2015-03-01,2,0.693147180559945,10.8197782844103,1
"3/1/2015","Amedisys","Baton Rouge","Louisiana","HACK","MED","6,909","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,30.40097,-91.050462,NA,NA,"",6909,2015-03-01,2015-03-02,1,0,8.8405801884888,1
"3/2/2015","Georgia Department of Community Health","Cordele","Georgia","HACK","MED","557,779","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,31.964379,-83.78293,NA,NA,"",557779,2015-03-02,2015-03-02,0.335487491684034,-1.09217060587634,13.2317181055644,1
"3/2/2015","Georgia Department of Community Health ","","GA","HACK","MED","355127","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",355127,2015-03-02,2015-03-02,0.337615333497524,-1.08584809816401,12.7802307509604,1
"3/2/2015","Georgia Department of Community Health ","","GA","HACK","MED","557779","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",557779,2015-03-02,2015-03-02,0.630414122482762,-0.46137833827385,13.2317181055644,1
"3/2/2015","Advance Rehabilitation & Consulting LTD","Calhoun","Georgia","HACK","MED","570","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,34.478293,-84.936616,NA,NA,"",570,2015-03-02,2015-03-02,0.723725946620107,-0.32334248502357,6.3456363608286,1
"3/2/2015","Advance Rehabilitation & Consulting LTD","","GA","HACK","MED","570","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",570,2015-03-02,2015-03-05,3,1.09861228866811,6.3456363608286,1
"3/5/2015","St. Mary's Health","Lafayette","Indiana","HACK","MED","3,952","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,40.420234,-86.871844,NA,NA,"",3952,2015-03-05,2015-03-05,0.840614554006606,-0.173622042729685,8.28197705886776,1
"3/5/2015","St. Mary's Health","","IN","HACK","MED","3952","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",3952,2015-03-05,2015-03-12,7,1.94591014905531,8.28197705886776,1
"3/12/2015","Virginia Department of Medical Assistance Services","Richmond","Virginia","HACK","MED","697,586","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,37.542467,-77.43592,NA,NA,"",697586,2015-03-12,2015-03-12,0.856131664710119,-0.155331100754851,13.4553810825682,1
"3/12/2015","Virginia Department of Medical Assistance Services (VA-DMAS)","","VA","HACK","MED","697586","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",697586,2015-03-12,2015-03-13,1,0,13.4553810825682,1
"3/13/2015","EyeCare of Bartlesville","Bartlesville","Oklahoma","HACK","MED","4,000","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency","",2015,36.750087,-95.972411,NA,NA,"",4000,2015-03-13,2015-03-13,0.39135928102769,-0.938129263597421,8.29404964010203,1
"3/13/2015","EyeCare of Bartlesville","","OK","HACK","MED","4000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",4000,2015-03-13,2015-03-16,3,1.09861228866811,8.29404964010203,1
"3/16/2015","Advantage Dental","Redmond","Washington","HACK","MED","151,626","Advantage Dental notified 151,626 patients of data breach when their database of patient information was hacked between February 23rd and February 26th. The hackers had access to patient names, dates of birth, phone numbers, Social Security numbers and home addresses. Advantage is offering credit monitoring and call center support through Experian. For further information go to Advantage homepage https://secure.advantagedental.com/ More Information: http://portlandtribune.com/pt/9-news/253880-123802-advantage-dental-says... ","Media","",2015,47.673988,-122.121512,NA,NA,"",151626,2015-03-16,2015-03-16,0.380493885604665,-0.966285171179643,11.9291722414431,1
"3/16/2015","Sacred Heart Health System, Inc.","","FL","HACK","MED","14177","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",14177,2015-03-16,2015-03-17,1,0,9.55937621211763,1
"3/17/2015","Premera Blue Cross","Mountlake Terrace","Washington","HACK","BSF","11,000,000","Premera Blue Cross notified customers of a data breach of their system by a cyberattack that compromised medical, personal and financial data of 11 million customers.The information compromised included medical information, bank account numbers, Social Security numbers, birth dates, names, addresses and other personal information. ""About six million of the people whose accounts were affected are 
residents of Washington state, where customers include employees of 
Amazon.com, Microsoft and Starbucks, according to Premera. The rest are 
scattered across the United States.""The breach was uncovered on January 29, 2015.More Information: http://www.nytimes.com/2015/03/18/business/premera-blue-cross-says-data-...","Media","",2015,47.788153,-122.308741,NA,NA,"",1.1e+07,2015-03-17,2015-03-17,0.895445425994694,-0.110434001834594,16.2134058307626,1
"3/17/2015","Premera Blue Cross","","WA","HACK","MED","11000000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1.1e+07,2015-03-17,2015-03-18,1,0,16.2134058307626,1
"3/18/2015","Advantage Consolidated LLC","","OR","HACK","MED","151626","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",151626,2015-03-18,2015-03-19,1,0,11.9291722414431,1
"3/19/2015","Career Education Corporation","","IL","HACK","MED","2743","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",2743,2015-03-19,2015-03-23,4,1.38629436111989,7.9168074909376,1
"3/23/2015","AT&T Group Health Plan","","TX","HACK","MED","50000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",50000,2015-03-23,2015-03-24,1,0,10.8197782844103,1
"3/24/2015","McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan","","IL","HACK","MED","880","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",880,2015-03-24,2015-03-24,0.644315762910992,-0.439566357963764,6.77992190747225,1
"3/24/2015","Freelancers Insurance Company","","NY","HACK","MED","43068","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",43068,2015-03-24,2015-03-25,1,0,10.6705355409356,1
"3/25/2015","7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525","","TX","HACK","MED","1688","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1688,2015-03-25,2015-03-27,2,0.693147180559945,7.4312996751559,1
"3/27/2015","New","","FL","HACK","MED","500","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",500,2015-03-27,2015-04-02,6,1.79175946922805,6.21460809842219,1
"4/2/2015","Western Montana Clinic","","MT","HACK","MED","7038","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",7038,2015-04-02,2015-04-02,0.741078648716211,-0.299648520699986,8.85907931788153,1
"4/2/2015","Schaeffler Group USA","","SC","HACK","MED","550","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",550,2015-04-02,2015-04-03,1,0,6.30991827822652,1
"4/3/2015","Microsoft/Xbox One","Redmond","Washington","HACK","BSO","11,266","A 19 year hacker has pleaded guilty to hacking and stealing ""11,266 log-in credentials from an unnamed which he then shared amongst the other members."" Austin Alcala was part of a larger hacking network that stole software and data from gaming companies such as Microsoft, Valve, Epic. The group stole internal documents from companies, source code and games that had not yet been released to the public. The items stolen were stated to be worth approximately $100 million dollars. The hacking took place from 2012 to 2014. More Information: http://www.welivesecurity.com/2015/04/03/us-teen-pleads-guilty-100-milli...  ","Media","",2015,39.868614,-85.993002,NA,NA,"",11266,2015-04-03,2015-04-03,0.605303446529433,-0.502025382181272,9.32954461945466,1
"4/3/2015","SUPERVALU Group Health Plan","","MN","HACK","MED","10946","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",10946,2015-04-03,2015-04-03,0.903081611497328,-0.101942351468141,9.30072937170386,1
"4/3/2015","Health Plan sponsored by Covenant Ministries of Benevolance","","IL","HACK","MED","782","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",782,2015-04-03,2015-04-07,4,1.38629436111989,6.66185474054531,1
"4/7/2015","ADT LLC Group Health & Welfare Plan","","FL","HACK","MED","3074","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",3074,2015-04-07,2015-04-09,2,0.693147180559945,8.03073492409854,1
"4/9/2015","International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund","","KY","HACK","MED","5440","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",5440,2015-04-09,2015-04-10,1,0,8.60153433984999,1
"4/10/2015","St.Vincent Medical Group, Inc.","","IN","HACK","MED","756","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",756,2015-04-10,2015-04-16,6,1.79175946922805,6.62804137617953,1
"4/16/2015","Concordia Plan Services on behalf of the Concordia Health Plan","","MO","HACK","MED","12500","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",12500,2015-04-16,2015-04-24,8,2.07944154167984,9.43348392329039,1
"4/24/2015","Seton Family of Hospitals","","TX","HACK","MED","39000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",39000,2015-04-24,2015-04-24,0.293730155099183,-1.22509377291502,10.5713169251118,1
"4/24/2015","Saint Agnes Health Care, Inc.","","MD","HACK","MED","24967","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",24967,2015-04-24,2015-04-27,3,1.09861228866811,10.1253102318829,1
"4/27/2015","CEMEX, Inc.","","TX","HACK","MED","880","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",880,2015-04-27,2015-05-01,4,1.38629436111989,6.77992190747225,1
"5/1/2015","Harbortouch","Allentown","Pennsylvania","HACK","BSO","4,200","Harbortouch, a POS vendor, announced a breach of several of the companies restaurant and bar customers. Patrons to the restaurants and/or bars were notified that their payment cards may have been compromised when malicious software was found on the POS systems. More Information: http://krebsonsecurity.com/2015/05/harbortouch-is-latest-pos-vendor-breach/","Krebs On Security","",2015,40.608431,-75.490183,NA,NA,"",4200,2015-05-01,2015-05-01,0.19126010988839,-1.65412094551113,8.34283980427146,1
"5/1/2015","Partners HealthCare System, Inc.","","MA","HACK","MED","3321","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",3321,2015-05-01,2015-05-15,14,2.63905732961526,8.10802122137675,1
"5/15/2015","Penn State College of Engineering","University Park","Pennsylvania","HACK","EDU","18,000","Penn State's College of Engineering announced that their servers were hacked in two different intrustions. The hackers are believed to be based in China and may have exposed ""at least 18,000 people and possibly other sensitive data"". Penn State's President sent a letter out to students and faculty informing them that the college's network had been disconnected to the Internet while they investigate the intrusio. Read more here: http://news.psu.edu/story/357654/2015/05/15/administration/message-presi...The information compromised has not yet been made public, all College of Engineering faculty, staff and students were affected. Those who also had taken at least one engineering class would be affected as well. The university is requiring those who meet this criteria change their username and password. They have set up a VPN and will be required to use two-factor authentication. More Information: http://arstechnica.com/security/2015/05/penn-state-severs-engineering-ne...","Media","",2015,42.25125,-71.809495,NA,NA,"",18000,2015-05-15,2015-05-15,0.886450943304226,-0.120529492501334,9.7981270368783,1
"5/15/2015","The MetroHealth System","","OH","HACK","MED","981","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",981,2015-05-15,2015-05-20,5,1.6094379124341,6.88857245956536,1
"5/20/2015","CareFirst BlueCross BlueShield","Baltimore","Maryland","HACK","BSF","1,100,000","The largest insurer in the Baltimore regions, CareFirst BlueCross BlueShield notified customer of a cyberattack to a single database, comprising the information of approximately 1.1 million individuals. The hackers were able to access names, birth dates, email addresses and insurance identification numbers. CareFirst has stated that they did not gain Social Security numbers, credit card numbers, passwords or medical information in the breach.The insurer is offering free credit monitoring for two years even though individual no financial or Social Security data was compromised. The company has posted more answers to the attack at www.carefirstanswers.com.More Information: http://www.baltimoresun.com/health/bs-bz-carefirst-data-breach-20150520-... ","","",2015,39.290385,-76.612189,NA,NA,"",1100000,2015-05-20,2015-05-20,0.503339485730976,-0.686490414609406,13.9108207377686,1
"5/20/2015","CareFirst BlueCross BlueShield","","MD","HACK","MED","1100000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1100000,2015-05-20,2015-05-22,2,0.693147180559945,13.9108207377686,1
"5/22/2015","Adult Friend Finder (owned by Penthouse Media)","Miami","Florida","HACK","BSO","3,500,000","The adult website Adult Friend Finder was hacked and personal information posted publicly for people to see.The information included customers' email 
addresses, usernames, passwords, birthdays and zip codes,and sexual preferences. To date they have not yet discovered if customer credit card information was exposed.More Information: http://money.cnn.com/2015/05/22/technology/adult-friendfinder-hacked/","Media","",2015,25.76168,-80.19179,NA,NA,"",3500000,2015-05-22,2015-05-22,0.877057543024421,-0.131182675279619,15.0682735264596,1
"5/22/2015","Beacon Health System","","IN","HACK","MED","306789","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",306789,2015-05-22,2015-06-04,13,2.56494935746154,12.6339154938559,1
"6/4/2015","Office of Personnel Management (OPM)","Washington","District Of Columbia","HACK","GOV","21,500,000","The Office of Personnel Management will be notifying over 4 million current and former federal employees of a data breach thought to be perpetrated by Chinese hackers. Federal officials stated that the hacking exposed employee's job assignments, performance and training. Officials stated that no ""background or clearance investigations"" were exposed. They are not stating whether or not the information that was exposed included any Social Security information or financial information. More Information: http://www.washingtonpost.com/world/national-security/chinese-hackers-breach-federal-goernments-personnel-office/2015/06/04/889c0e52-Oaf7-11e5-95fd-d580f1c5d44e_story.html Breach FAQ: http://www.opm.gov/faqs/topic/cybersecurityinformation/UPDATE (06/15/2015): Very interesting timeline laid out by Brian Krebs which includes the OPM breach, along with connections to various other breaches that are very similar attacks to OPM. http://krebsonsecurity.com/2015/06/catching-up-on-the-opm-breach/ UPDATE (06/24/2015): The 4.2 million individuals reported to have been affected by the OPM breach, has now increased to approximately 18 million individuals, including individuals that applied for jobs but never ended up being hired. More Information: www.cnn.com/2015/06/22/politics/opm-hack-18-million/index.html UPDATE (06/25/2015): The head of OPM has publicly stated that they are investigating the breach of 18 million Social Security numbers as part of the recent hacking at the OPM Currently we are now including the 18 million in our breach total number as prior the office would not state specifically what information in the records was obtained. Authorities are also stating that the hack can be defined as two distinct breaches. More Information: http://www.wsj.com/articles/hack-defined-as-two-distinct-breaches-1435158334UPDATE (7/2/2015): The Office of Personnel Management has had a class-action lawsuit filed against them over the recent data breach by a federal employee's union. The suit claims that OPM's negligence led to the breach. Since 2007 when OPM had been notified by the Office of Inspector General that there were deficiencies in the agency's cybersecurity processes, the agency failed to correct the issues. Here is OPM's website explaining the breach and what to do. https://www.opm.gov/cybersecurityMore Information: http://www.computerworld.com/article/2942038/security/opm-hit-by-classac... UPDATE (7/9/2015): OPM admits that hackers breached 21.5 million Social Security numbers in the recent data breach. More Information: http://www.foxnews.com/politics/2015/07/09/hackers-stole-social-security...UPDATE (9/23/2015): OPM has stated that 5.6 million finger prints were part of the cyber attack to the agencies computer systems. This is almost 5 times greater than initially communicated.More Information: https://www.washingtonpost.com/news/the-switch/wp/2015/09/23/opm-now-says-more-than-five-million-fingerprints-compromised-in-breaches/","Media","",2015,38.907192,-77.036871,NA,NA,"",21500000,2015-06-04,2015-06-24,20,2.99573227355399,16.8835634930979,1
"6/24/2015","Heartland Dental, LLC","","IL","HACK","MED","2860","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",2860,2015-06-24,2015-06-26,2,0.693147180559945,7.9585769038139,1
"6/26/2015","Medical Informatics Engineering","Fort Wayne","Indiana","HACK","MED","390,000","Medical Informatics Engineering has notified individuals of a data breach when they noticed suspicious activity on one of their servers. The company has determined that some protected health information was exposed including names, home addresses, email addresses, dates of birth, Social Security numbers, lab results, dictated reports and medical conditions. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-56609UPDATE (7/23/2015): Medical Informatics Engineering put out a notification on their website regarding the data breach to their system in June. The company is claiming that only certain clients were affected by their breach and notifications went out. More Information: https://www.mieweb.com/notice/UPDATE (8/6/2015): Two class action status lawsuits have been filed against Medical Informatics Engineering regarding the data breach that affected 3.9 million people (this article shares the total numbers and PRC has updated the total number affected according to this article). More Information: http://www.ibj.com/articles/54329-patients-suing-indiana-medical-company...","California Attorney General","",2015,41.068132,-85.225482,NA,NA,"",390000,2015-06-26,2015-07-03,7,1.94591014905531,12.8739020181058,1
"7/3/2015","FireKeepers Casino Hotel","","MI","HACK","MED","7666","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",7666,2015-07-03,2015-07-17,14,2.63905732961526,8.9445502459405,1
"7/17/2015","UCLA Health System","Los Angeles","California","HACK","MED","4,500,000","UCLA Health System's has informed as many as 4.5 million patients of a data breach of their network, exposing sensitive personal and medical information. The information compromised included names, dates of birth, Social Security numbers, Medicare and health plan identification numbers, patient diagnosis and procedures.It has been reported that UCLA did not take basic steps to encrypt the patient data.Patients who are affected can call UCLA at (877) 534-5972 or check the website www.myidcare .com/uclaprotection.More Information: http://www.latimes.com/business/la-fi-ucla-medical-data-20150717-story.html ","Media","",2015,34.052234,-118.243685,NA,NA,"",4500000,2015-07-17,2015-07-17,0.189193622441962,-1.66498433095594,15.3195879547405,1
"7/17/2015","University of California, Los Angeles Health","","CA","HACK","MED","4500000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",4500000,2015-07-17,2015-07-19,2,0.693147180559945,15.3195879547405,1
"7/19/2015","Ashley Madison (owned by Canadian Avid Life Media)","Toronto","Ontario","HACK","BSO","37,000,000","Ashley Madison, the online cheating website, confirmed a hack of their system, exposing 40 million records.The data that was stolen included the company's user databases, financial records along with other confidential information. The company has not stated the exact personal information compromised.""Reached by KrebsOnSecurity late Sunday evening, ALM Chief Executive Noel Biderman confirmed the hack, and said the company was “working diligently and feverishly” to take down ALM’s intellectual property. Indeed, in the short span of 30 minutes between that brief interview and the publication of this story, several of the Impact Team’s Web links were no longer responding.""""Besides snippets of account data apparently sampled at random from among some 40 million users across ALM’s trio of properties, the hackers leaked maps of internal company servers, employee network account information, company bank account data and salary information.""More information: http://krebsonsecurity.com/2015/07/online-cheating-site-ashleymadison-ha...UPDATE (8/18/2015): Hackers who stole sensitive customer information originally reported back in July, have now stated that because the company has not taken down their site as requested by the hackers, sensitive customer information has been posted online.""A data dump, 9.7 gigabytes in size, was posted on Tuesday to the dark web using an Onion address accessible only through the Tor browser. The files appear to include account details and log-ins for some 32 million users of the social networking site, touted as the premier site for married individuals seeking partners for affairs. Seven years worth of credit card and other payment transaction details are also part of the dump, going back to 2007. The data, which amounts to millions of payment transactions, includes names, street address, email address and amount paid, but not credit card numbers; instead it includes four digits for each transaction that may be the last four digits of the credit card or simply a transaction ID unique to each charge.""Raja Bhatia, AshleyMadison's founding Chief Technology Officer stated that these recent data dumps are not legitimate. His team has been reviewing 30 to 80 reported data dumps daily and that ""most of these dumps are entirely fake and being used by other organizations to capture the attention that's been built up through this release""More Information: http://www.wired.com/2015/08/happened-hackers-posted-stolen-ashley-madis...http://krebsonsecurity.com/2015/08/was-the-ashley-madison-database-leaked/  ","Krebs On Security","",2015,43.653226,-79.383184,NA,NA,"",3.7e+07,2015-07-19,2015-07-20,1,0,17.4264284706085,1
"7/20/2015","Special Agents Mutual Benefit Association","","MD","HACK","MED","1475","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2015,NA,NA,NA,NA,"",1475,2015-07-20,2015-07-23,3,1.09861228866811,7.29641326877392,1
